donnee;taxon;station;type;d15N_norm;d13C_norm
0403_TRF_1_F0206.raw;TRF;F0206;friche;10.1985300359453;-28.4525895937416
0403_TRF_2.raw;TRF;F0206;friche;9.96364159525033;-27.7086127007989
0403_TRF_3.raw;TRF;F0206;friche;9.03212666053588;-28.9492169051002
0403_VAI_1.raw;VAI;F0206;friche;7.88915611122134;-26.2095703006248
0403_VAI_2.raw;VAI;F0206;friche;7.7957870195972;-25.4583418733459
0403_VAI_3.raw;VAI;F0206;friche;8.14708266325405;-26.0658762992664
0403_VAI_4.raw;VAI;F0206;friche;7.84239080393124;-25.3902542832583
0403_VAI_5.raw;VAI;F0206;friche;8.22373907122063;-26.3906808273685
0403_HEPTA1.raw;HEPTA;F0206;friche;7.82559082439033;-34.2237972478029
0403_HEPTA2.raw;HEPTA;F0206;friche;5.64025923358219;-31.8144545638626
0403_HEPTA3.raw;HEPTA;F0206;friche;6.49420775054628;-34.1077153313197
0403_HEPTA4.raw;HEPTA;F0206;friche;7.07594376294919;-33.8995777322856
0403_HEPTA5.raw;HEPTA;F0206;friche;7.42871541078148;-34.0378362771618
0403_CALOP1.raw;CALOP;F0206;friche;7.40112941095629;-31.7794151379461
0403_CALOP2.raw;CALOP;F0206;friche;6.71746673226685;-32.8280212227205
0403_CALOP3.raw;CALOP;F0206;friche;7.59350722428075;-32.6278597654149
0403_CALOP4.raw;CALOP;F0206;friche;7.31105970026792;-31.584231007982
0403_CALOP5.raw;CALOP;F0206;friche;6.78238094049358;-33.7057041305701
0403_BAET1.raw;BAET;F0206;friche;5.66346644308023;-34.8901899646511
0403_BAET2.raw;BAET;F0206;friche;6.32053309745711;-34.545820715216
0403_BAET3.raw;BAET;F0206;friche;6.07921526792011;-34.9789559098098
0403_BAET4.raw;BAET;F0206;friche;5.9054214064068;-34.697470109476
0403_BAET5.raw;BAET;F0206;friche;5.90952343404391;-34.107566854414
0403_SIMU1.raw;SIMU;F0206;friche;5.51743426634143;-28.8414065704466
0403_SIMU2.raw;SIMU;F0206;friche;5.6136321092585;-29.1476981438283
0403_SIMU3.raw;SIMU;F0206;friche;5.49816477627222;-29.1551222323162
0403_SIMU4.raw;SIMU;F0206;friche;5.48567473178942;-29.2588023533835
0403_SIMU5.raw;SIMU;F0206;friche;5.552660976484;-28.9733207477768
0403_RHYACOsp1.raw;RHYACO_sp;F0206;friche;8.4553426687037;-32.3613817258667
0403_RHYACOsp2.raw;RHYACO_sp;F0206;friche;7.2538676464211;-31.7837492723146
0403_RHYACOsp3.raw;RHYACO_sp;F0206;friche;7.09694289493136;-30.5414536480576
0403_RHYACOsp4.raw;RHYACO_sp;F0206;friche;7.56780984213751;-30.982712769649
0403_RHYACOsp5.raw;RHYACO_sp;F0206;friche;8.0908257900114;-28.0778849712481
0403_PERL1.raw;PERL;F0206;friche;7.11097290364331;-30.5181868938665
0403_PERL2.raw;PERL;F0206;friche;7.82647029041195;-28.6344865213586
0403_PERL3.raw;PERL;F0206;friche;7.84801359210945;-30.201097563516
0403_PERL4.raw;PERL;F0206;friche;7.05586027520193;-28.2947294517902
0403_PERL5.raw;PERL;F0206;friche;7.56234658324212;-30.1780639687158
0403_GAM1_B0202.raw;GAM;B0202;bois;3.1661027570568;-26.6638163623323
0403_GAM2_B0202.raw;GAM;B0202;bois;3.21213840884052;-25.5356163049526
